序号,文件名称,文件编号,成文日期
730,国家税务总局关于印发《增值税问题解答（之一）》的通知,国税函发〔1995〕288号,1995/6/2
731,国家税务总局关于固定业户临时外出经营有关增值税专用发票管理问题的通知,国税发〔1995〕87号,1995/5/16
732,国家税务总局关于统一编印1995年增值税专用发票代码的通知,国税函发〔1995〕18号,1995/1/14
733,国家税务总局关于明确流转税、资源税法规中“主管税务机关、征收机关”名称问题的通知,国税发〔1994〕232号,1994/12/24
734,国家税务总局关于有色金属焙烧矿增值税适用税率问题的通知,国税函发〔1994〕621号,1994/11/19
735,国家税务总局关于下发《货物期货征收增值税具体办法》的通知,国税发〔1994〕244号,1994/11/9
736,财政部 国家税务总局关于增值税几个税收政策问题的通知,财税字〔1994〕60号,1994/10/18
737,财政部 国家税务总局关于国家物资储备局系统缴纳增值税、所得税的通知,（1994）财税字第63号,1994/10/11
738,国家税务总局关于增值税几个业务问题的通知,国税发〔1994〕186号,1994/8/19
739,财政部 国家税务总局对《关于黄金生产环节免征增值税问题的通知》的补充规定,（1994）财税字第46号,1994/7/4
740,国家税务总局关于学校办企业征收流转税问题的通知,国税发〔1994〕156号,1994/7/4
741,国家税务总局关于增值税若干征收问题的通知,国税发〔1994〕122号,1994/5/7
742,财政部 国家税务总局关于增值税、营业税若干政策规定的通知,财税字〔1994〕26号,1994/5/5
743,国家税务总局关于中外合作开采石油资源缴纳增值税有关问题的通知,国税发〔1994〕114号,1994/4/28
744,国家税务总局关于国家物资储备局系统销售储备物资统一缴纳增值税问题的通知,国税发〔1994〕90号,1994/4/13
745,国务院关于外商投资企业和外国企业适用增值税、消费税、营业税等税收暂行条例有关问题的通知,国发〔1994〕10号,1994/2/22
746,国家税务总局关于印发《增值税若干具体问题的规定》的通知,国税发〔1993〕154号,1993/12/28
747,国家税务总局关于印发《增值税部分货物征税范围注释》的通知,国税发〔1993〕151号,1993/12/25
748,国家税务总局关于涉外税收实施增值税有关征管问题的通知,国税发〔1993〕138号,1993/11/6
749,国家税务局 国家体改委关于印发《股份制试点企业有关税收问题的暂行规定》的通知,国税发〔1992〕137号,1992/6/17
